    PID     LWP TTY          TIME CMD
   8057    8071 ?        00:00:00 Socket Thread
   8057    8072 ?        00:00:00 JS Watchdog
   8057    8073 ?        00:00:00 JS Helper
   8057    8074 ?        00:00:00 JS Helper
   8057    8075 ?        00:00:00 Timer
   8057    8076 ?        00:00:00 RemoteLzyStream
   8057    8077 ?        00:00:00 RemVidChild
   8057    8081 ?        00:00:00 ImageIO
   8057    8082 ?        00:00:00 Worker Launcher
   8057    8083 ?        00:00:00 ImageBridgeChld
   8057    8084 ?        00:00:00 ProcessHangMon
   8057    8085 ?        00:00:00 ProfilerChild
   8057    8086 ?        00:00:00 HTML5 Parser
   8100    8100 ?        00:01:41 Web Content
   8100    8104 ?        00:00:02 IPC I/O Child
   8100    8108 ?        00:00:00 gmain
   8100    8109 ?        00:00:00 gdbus
   8100    8112 ?        00:00:00 Socket Thread
   8100    8113 ?        00:00:00 JS Watchdog
   8100    8114 ?        00:00:01 JS Helper
   8100    8115 ?        00:00:01 JS Helper
   8100    8116 ?        00:00:01 Timer
   8100    8117 ?        00:00:00 RemoteLzyStream
   8100    8118 ?        00:00:00 RemVidChild
   8100    8119 ?        00:00:00 ImageIO
   8100    8120 ?        00:00:00 Worker Launcher
   8100    8121 ?        00:00:00 ImageBridgeChld
   8100    8122 ?        00:00:00 ProcessHangMon
   8100    8123 ?        00:00:00 ProfilerChild
   8100    8129 ?        00:00:00 HTML5 Parser
   8100    8170 ?        00:00:00 TaskCon~read #0
   8100    8174 ?        00:00:00 firefox:disk$0
   8100    8175 ?        00:00:00 firefox:disk$1
   8100    8176 ?        00:00:00 firefox:disk$2
   8100    8177 ?        00:00:00 firefox:disk$3
   8226    8226 ?        00:00:05 Web Content
   8226    8230 ?        00:00:00 IPC I/O Child
   8226    8231 ?        00:00:00 gmain
   8226    8232 ?        00:00:00 gdbus
   8226    8234 ?        00:00:00 Socket Thread
   8226    8235 ?        00:00:00 JS Watchdog
   8226    8236 ?        00:00:00 JS Helper
   8226    8237 ?        00:00:00 JS Helper
   8226    8238 ?        00:00:00 Timer
   8226    8239 ?        00:00:00 RemoteLzyStream
   8226    8240 ?        00:00:00 RemVidChild
   8226    8241 ?        00:00:00 ImageIO
   8226    8242 ?        00:00:00 ImageBridgeChld
   8226    8243 ?        00:00:00 ProcessHangMon
   8226    8244 ?        00:00:00 ProfilerChild
   8226    9060 ?        00:00:00 Worker Launcher
   8226    9062 ?        00:00:00 HTML5 Parser
   8226    9063 ?        00:00:00 TaskCon~read #0
   8226    9089 ?        00:00:00 firefox:disk$0
   8226    9090 ?        00:00:00 firefox:disk$1
   8226    9091 ?        00:00:00 firefox:disk$2
   8226    9092 ?        00:00:00 firefox:disk$3
   8967    8967 ?        00:00:00 kworker/u2:0-events_power_efficient
   8995    8995 ?        00:00:00 kworker/0:0-events
   9025    9025 ?        00:00:00 kworker/u2:1-events_unbound
   9066    9066 ?        00:00:00 kworker/0:1-events
   9072    9072 ?        00:00:09 Web Content
   9072    9077 ?        00:00:00 IPC I/O Child
   9072    9078 ?        00:00:00 gmain
   9072    9080 ?        00:00:00 gdbus
   9072    9082 ?        00:00:00 Socket Thread
   9072    9083 ?        00:00:00 JS Watchdog
   9072    9084 ?        00:00:00 JS Helper
   9072    9085 ?        00:00:00 JS Helper
   9072    9086 ?        00:00:00 Timer
   9072    9087 ?        00:00:00 RemoteLzyStream
   9072    9088 ?        00:00:00 RemVidChild
   9072    9093 ?        00:00:00 ImageIO
   9072    9094 ?        00:00:00 Worker Launcher
   9072    9095 ?        00:00:00 ImageBridgeChld
   9072    9096 ?        00:00:00 ProcessHangMon
   9072    9097 ?        00:00:00 ProfilerChild
   9072    9098 ?        00:00:00 HTML5 Parser
   9072    9122 ?        00:00:00 TaskCon~read #0
   9072    9431 ?        00:00:00 DOM Worker
   9072    9432 ?        00:00:00 StreamTrans #8
   9072    9433 ?        00:00:00 StreamTrans #9
   9099    9099 ?        00:00:00 Web Content
   9099    9103 ?        00:00:00 IPC I/O Child
   9099    9104 ?        00:00:00 gmain
   9099    9105 ?        00:00:00 gdbus
   9099    9108 ?        00:00:00 Socket Thread
   9099    9109 ?        00:00:00 JS Watchdog
   9099    9110 ?        00:00:00 JS Helper
   9099    9111 ?        00:00:00 JS Helper
   9099    9112 ?        00:00:00 Timer
   9099    9113 ?        00:00:00 RemoteLzyStream
   9099    9114 ?        00:00:00 RemVidChild
   9099    9115 ?        00:00:00 ImageIO
   9099    9116 ?        00:00:00 ImageBridgeChld
   9099    9117 ?        00:00:00 ProcessHangMon
   9099    9118 ?        00:00:00 ProfilerChild
   9157    9157 ?        00:00:00 anacron
   9402    9402 ?        00:00:01 gnome-terminal-
   9402    9403 ?        00:00:00 gmain
   9402    9404 ?        00:00:00 gdbus
   9402    9405 ?        00:00:00 dconf worker
   9402    9409 ?        00:00:00 threaded-ml
   9410    9410 pts/1    00:00:00 bash
   9437    9437 pts/1    00:00:00 ps
